Agent 0 positions over time:
  Step 307: x=0.201, y=0.204, g_x=0.200, g_y=0.200
  Step 308: x=0.201, y=0.205, g_x=0.200, g_y=0.200
  Step 309: x=0.201, y=0.205, g_x=0.200, g_y=0.200
  Step 310: x=0.201, y=0.206, g_x=0.200, g_y=0.200
  Step 311: x=0.202, y=0.207, g_x=0.200, g_y=0.200
  Step 312: x=0.203, y=0.209, g_x=0.200, g_y=0.200
  Step 313: x=0.204, y=0.212, g_x=0.200, g_y=0.200
  Step 314: x=0.206, y=0.216, g_x=0.200, g_y=0.200
  Step 315: x=0.207, y=0.219, g_x=0.200, g_y=0.200
  Step 316: x=0.209, y=0.223, g_x=0.200, g_y=0.200
  Step 317: x=0.211, y=0.226, g_x=0.200, g_y=0.200
  Step 318: x=0.213, y=0.229, g_x=0.200, g_y=0.200
  Step 319: x=0.214, y=0.231, g_x=0.200, g_y=0.200
  Step 320: x=0.216, y=0.233, g_x=0.200, g_y=0.200
  Step 321: x=0.217, y=0.235, g_x=0.200, g_y=0.200
  Step 322: x=0.218, y=0.236, g_x=0.200, g_y=0.200
  Step 323: x=0.219, y=0.236, g_x=0.200, g_y=0.200
  Step 324: x=0.219, y=0.236, g_x=0.200, g_y=0.200
  Step 325: x=0.219, y=0.235, g_x=0.200, g_y=0.200
  Step 326: x=0.219, y=0.233, g_x=0.200, g_y=0.200
  Step 327: x=0.219, y=0.233, g_x=0.200, g_y=0.200
  Step 328: x=0.218, y=0.233, g_x=0.200, g_y=0.200
  Step 329: x=0.217, y=0.233, g_x=0.200, g_y=0.200
  Step 330: x=0.216, y=0.234, g_x=0.200, g_y=0.200
  Step 331: x=0.215, y=0.235, g_x=0.200, g_y=0.200
  Step 332: x=0.214, y=0.235, g_x=0.200, g_y=0.200
  Step 333: x=1.492, y=0.127, g_x=1.740, g_y=0.675
  Step 334: x=1.497, y=0.134, g_x=1.740, g_y=0.675
  Step 335: x=1.506, y=0.147, g_x=1.740, g_y=0.675
  Step 336: x=1.517, y=0.165, g_x=1.740, g_y=0.675
  Step 337: x=1.528, y=0.187, g_x=1.740, g_y=0.675
  Step 338: x=1.539, y=0.210, g_x=1.740, g_y=0.675
  Step 339: x=1.549, y=0.234, g_x=1.740, g_y=0.675
  Step 340: x=1.559, y=0.258, g_x=1.740, g_y=0.675
  Step 341: x=1.568, y=0.282, g_x=1.740, g_y=0.675
  Step 342: x=1.575, y=0.305, g_x=1.740, g_y=0.675
  Step 343: x=1.583, y=0.327, g_x=1.740, g_y=0.675
  Step 344: x=1.590, y=0.348, g_x=1.740, g_y=0.675
  Step 345: x=1.596, y=0.368, g_x=1.740, g_y=0.675
  Step 346: x=1.602, y=0.387, g_x=1.740, g_y=0.675
  Step 347: x=1.607, y=0.406, g_x=1.740, g_y=0.675
  Step 348: x=1.612, y=0.423, g_x=1.740, g_y=0.675
  Step 349: x=1.617, y=0.439, g_x=1.740, g_y=0.675
  Step 350: x=1.622, y=0.454, g_x=1.740, g_y=0.675
  Step 351: x=1.626, y=0.469, g_x=1.740, g_y=0.675
  Step 352: x=1.631, y=0.482, g_x=1.740, g_y=0.675
  Step 353: x=1.635, y=0.495, g_x=1.740, g_y=0.675
  Step 354: x=1.639, y=0.507, g_x=1.740, g_y=0.675
  Step 355: x=1.642, y=0.519, g_x=1.740, g_y=0.675
  Step 356: x=1.646, y=0.529, g_x=1.740, g_y=0.675
  Step 357: x=1.649, y=0.540, g_x=1.740, g_y=0.675
  Step 358: x=1.653, y=0.549, g_x=1.740, g_y=0.675
  Step 359: x=1.656, y=0.558, g_x=1.740, g_y=0.675
  Step 360: x=1.659, y=0.567, g_x=1.740, g_y=0.675
  Step 361: x=1.662, y=0.575, g_x=1.740, g_y=0.675
  Step 362: x=1.665, y=0.583, g_x=1.740, g_y=0.675
  Step 363: x=1.668, y=0.590, g_x=1.740, g_y=0.675
  Step 364: x=1.670, y=0.597, g_x=1.740, g_y=0.675
  Step 365: x=1.673, y=0.603, g_x=1.740, g_y=0.675
  Step 366: x=1.675, y=0.609, g_x=1.740, g_y=0.675
  Step 367: x=1.677, y=0.615, g_x=1.740, g_y=0.675
