n_targets,n_agents,time,targets_per_agent
355,12,0.7921442985534668,"[26, 30, 33, 30, 28, 36, 31, 31, 31, 27, 21, 31]"
355,12,0.7719142436981201,"[38, 26, 22, 35, 27, 20, 38, 27, 30, 25, 39, 28]"
360,12,0.9871551990509033,"[39, 40, 40, 30, 33, 20, 20, 21, 31, 22, 32, 32]"
360,12,0.8493297100067139,"[34, 24, 30, 21, 17, 29, 42, 34, 29, 36, 39, 25]"
360,12,0.9123744964599609,"[29, 40, 29, 27, 25, 31, 27, 38, 28, 23, 28, 35]"
360,12,0.7591323852539062,"[32, 30, 24, 34, 31, 24, 31, 29, 33, 26, 26, 40]"
360,12,0.8401834964752197,"[37, 20, 31, 32, 28, 32, 38, 35, 32, 36, 21, 18]"
365,13,0.709876298904419,"[29, 36, 37, 20, 26, 29, 20, 26, 22, 29, 20, 29, 42]"
365,13,0.6825158596038818,"[24, 38, 19, 35, 28, 35, 29, 20, 32, 30, 35, 20, 20]"
365,13,0.783327579498291,"[27, 38, 24, 31, 30, 20, 29, 34, 20, 15, 39, 21, 37]"
365,13,0.7794358730316162,"[24, 34, 42, 26, 39, 31, 25, 19, 25, 33, 32, 13, 22]"
365,13,0.845428466796875,"[29, 25, 29, 22, 17, 19, 36, 38, 30, 36, 25, 31, 28]"
370,13,0.6408367156982422,"[22, 30, 41, 31, 25, 35, 23, 25, 21, 23, 30, 33, 31]"
370,13,0.7882068157196045,"[29, 23, 28, 31, 22, 38, 30, 30, 29, 34, 25, 23, 28]"
370,13,0.722942590713501,"[24, 39, 30, 25, 28, 30, 26, 26, 22, 28, 32, 26, 34]"
370,13,0.7777750492095947,"[23, 36, 38, 28, 12, 28, 35, 27, 31, 27, 24, 31, 30]"
370,13,0.6603207588195801,"[30, 24, 28, 37, 30, 37, 31, 19, 19, 31, 28, 28, 28]"
375,13,0.7904443740844727,"[28, 28, 42, 34, 32, 31, 20, 26, 22, 22, 25, 34, 31]"
375,13,0.6716222763061523,"[21, 30, 29, 40, 26, 25, 37, 26, 33, 27, 23, 36, 22]"
375,13,0.8345720767974854,"[22, 29, 30, 37, 22, 28, 28, 39, 27, 22, 26, 32, 33]"
375,13,0.6805517673492432,"[28, 45, 23, 21, 27, 23, 30, 25, 36, 22, 28, 27, 40]"
375,13,0.8747832775115967,"[28, 36, 29, 27, 26, 23, 22, 32, 48, 27, 31, 27, 19]"
380,13,0.7447235584259033,"[35, 22, 32, 20, 32, 24, 33, 28, 24, 30, 26, 34, 40]"
380,13,0.6679582595825195,"[28, 27, 27, 29, 38, 31, 35, 20, 29, 35, 25, 25, 31]"
380,13,0.6746289730072021,"[32, 40, 32, 28, 25, 33, 20, 33, 28, 24, 26, 26, 33]"
380,13,0.7764503955841064,"[29, 29, 25, 24, 31, 36, 32, 29, 31, 40, 21, 21, 32]"
380,13,0.675405740737915,"[41, 28, 32, 28, 21, 25, 32, 25, 31, 27, 30, 24, 36]"
385,13,0.796804666519165,"[24, 27, 32, 22, 24, 32, 31, 35, 40, 28, 34, 26, 30]"
